Dimension,Escenario,Algoritmo,Metrica,N,Media,Desv_std,IC95_inf,IC95_sup
200,Escenario 2,KNN,Valor F2,10,0.9671791722430312,0.0034337017781030077,0.9647228499630215,0.9696354945230409
200,Escenario 2,KNN,Valor F0.5,10,0.970744479340533,0.006507748020533411,0.9660891168517275,0.9753998418293385
200,Escenario 2,Naïve Bayes,Exactitud,10,0.5891359688529499,0.004769508918699165,0.5857240677098698,0.59254786999603
200,Escenario 2,Naïve Bayes,Precisión,10,0.948655494387624,0.004463388148105549,0.945462578851849,0.9518484099233989
200,Escenario 2,Naïve Bayes,Recall,10,0.5112764074945607,0.00519440970474486,0.5075605506398304,0.514992264349291
200,Escenario 2,Naïve Bayes,F1-score,10,0.6644365919611037,0.004878494611224966,0.6609467271502233,0.6679264567719841
200,Escenario 2,Naïve Bayes,Valor F2,10,0.5632053447246096,0.005161220261002376,0.5595132301676659,0.5668974592815533
200,Escenario 2,Naïve Bayes,Valor F0.5,10,0.8100454714200318,0.0042803057934761015,0.8069835251110025,0.8131074177290611
200,Escenario 2,SVM,Exactitud,10,0.9953878406708595,0.005732119206253233,0.9912873296108191,0.9994883517308999
200,Escenario 2,SVM,Precisión,10,0.9950125929585057,0.007126426220030134,0.9899146547471168,1.0
200,Escenario 2,SVM,Recall,10,0.9992945114759365,0.00029104572322557733,0.9990863099078738,0.9995027130439992
200,Escenario 2,SVM,F1-score,10,0.9971370736469769,0.003542787531075135,0.9946027161202355,0.9996714311737183
200,Escenario 2,SVM,Valor F2,10,0.9984275342332163,0.0013804528216743574,0.9974400177738648,0.9994150506925678
200,Escenario 2,SVM,Valor F0.5,10,0.9958584772102268,0.005698467046552053,0.9917820394550295,0.9999349149654241
200,Escenario 2,Árbol de Decisión,Exactitud,10,0.9359351602276129,0.009236191018149214,0.9293279871979157,0.9425423332573102
200,Escenario 2,Árbol de Decisión,Precisión,10,0.9582605978782455,0.009870028250873526,0.9512000050068575,0.9653211907496334
200,Escenario 2,Árbol de Decisión,Recall,10,0.9613448683290514,0.003183817610904396,0.9590673024137399,0.9636224342443629
200,Escenario 2,Árbol de Decisión,F1-score,10,0.9597831103055094,0.005971589469497956,0.9555112925388823,0.9640549280721366
200,Escenario 2,Árbol de Decisión,Valor F2,10,0.9607154255430521,0.003995034040171577,0.9578575503528275,0.9635733007332767
200,Escenario 2,Árbol de Decisión,Valor F0.5,10,0.958864923211749,0.008270628990687113,0.9529484716465397,0.9647813747769582
