Embedding_dimension,Model,Metric,N_E1,E1_Mean,E1_SD,E1_CI95_Lower,E1_CI95_Upper,N_E2,E2_Mean,E2_SD,E2_CI95_Lower,E2_CI95_Upper,N_pairs,Mean_difference_E2_minus_E1,Wilcoxon_W,p_value,Holm_adjusted_p,Significant_after_Holm
200,Decision Tree,F1-score,10,0.9524498276555347,0.005440390504859386,0.9485580067367063,0.956341648574363,10,0.9597831103055094,0.005971589469497956,0.9555112925388823,0.9640549280721366,10,0.007333282649974504,2.0,0.005859375,0.099609375,False
200,Decision Tree,F2-score,10,0.9533862628789318,0.0038892523276996896,0.9506040593672493,0.9561684663906143,10,0.9607154255430521,0.003995034040171577,0.9578575503528275,0.9635733007332767,10,0.007329162664120159,0.0,0.001953125,0.09375,False
200,KNN,Precision,10,0.9670371202393403,0.00847873031087979,0.9609718019575897,0.9731024385210909,10,0.9719458811518281,0.007763674659200041,0.96639208286866,0.9774996794349963,10,0.00490876091248803,0.0,0.001953125,0.09375,False
200,KNN,Recall,10,0.9567053578776774,0.00338942201951787,0.9542807114287662,0.9591300043265886,10,0.966003564454278,0.0030351592215647353,0.9638323423444112,0.9681747865641449,10,0.00929820657660071,0.0,0.001953125,0.09375,False
200,KNN,F1-score,10,0.9618301303776112,0.005196526145189973,0.9581127595125924,0.96554750124263,10,0.9689545714589739,0.004770209706497523,0.9655421690025026,0.9723669739154452,10,0.007124441081362598,0.0,0.001953125,0.09375,False
200,KNN,F2-score,10,0.9587455344098608,0.0037784675285088077,0.9560425815693561,0.9614484872503655,10,0.9671791722430312,0.0034337017781030077,0.9647228499630215,0.9696354945230409,10,0.008433637833170271,0.0,0.001953125,0.09375,False
200,Naive Bayes,Precision,10,0.9346079632803812,0.005149143626590194,0.9309244878272651,0.9382914387334973,10,0.948655494387624,0.004463388148105549,0.945462578851849,0.9518484099233989,10,0.014047531107242583,0.0,0.001953125,0.09375,False
200,Naive Bayes,Recall,10,0.5077163954043638,0.006337831845311273,0.5031825836249395,0.512250207183788,10,0.5112764074945607,0.00519440970474486,0.5075605506398304,0.514992264349291,10,0.0035600120901970013,0.0,0.001953125,0.09375,False
200,Naive Bayes,F1-score,10,0.6579705270497492,0.005983694920895627,0.653690049564865,0.6622510045346335,10,0.6644365919611037,0.004878494611224966,0.6609467271502233,0.6679264567719841,10,0.006466064911354463,0.0,0.001953125,0.09375,False
200,Naive Bayes,F2-score,10,0.5587535711015501,0.006308496057768414,0.5542407448803368,0.5632663973227634,10,0.5632053447246096,0.005161220261002376,0.5595132301676659,0.5668974592815533,10,0.004451773623059508,0.0,0.001953125,0.09375,False
200,SVM,Precision,10,0.9931995606251954,0.007690977469650813,0.987697766778616,0.9987013544717749,10,0.9950125929585057,0.007126426220030134,0.9899146547471168,1.0,10,0.0018130323333103494,0.0,0.001953125,0.09375,False
200,SVM,Recall,10,0.9992151244124576,0.0001492497785212135,0.9991083575526779,0.9993218912722374,10,0.9992945114759365,0.00029104572322557733,0.9990863099078738,0.9995027130439992,10,7.938706347871971e-05,17.0,0.322265625,1.0,False
200,SVM,F1-score,10,0.9961847992753226,0.0038760009420598647,0.9934120752338712,0.9989575233167739,10,0.9971370736469769,0.003542787531075135,0.9946027161202355,0.9996714311737183,10,0.0009522743716542492,7.0,0.037109375,0.51953125,False
200,SVM,F2-score,10,0.9979975182828926,0.0015624744502762016,0.9968797913944848,0.9991152451713005,10,0.9984275342332163,0.0013804528216743574,0.9974400177738648,0.9994150506925678,10,0.00043001595032352566,15.0,0.232421875,1.0,False
