Dimension,Escenario,Modelo,Referencia,N_holdout,Exactitud,Precisión,Recall,F1-score,Sensibilidad,Especificidad,Precisión positiva,Tasa de falsos positivos,Valor F2,Valor F0.5,TP,TN,FP,FN,Balanced_Accuracy,Cohen_Kappa,MCC
200,Escenario 1,Pseudoetiquetado directo,Silver standard de hashtags — features sin hashtags,4240,0.8825471698113208,0.8982436576526345,0.9603576751117735,0.9282627484874676,0.9603576751117735,0.5875706214689266,0.8982436576526345,0.4124293785310734,0.947257011818663,0.9100152516522624,3222.0,520.0,365.0,133.0,0.7739641482903501,0.6064495807325205,0.6169065023565815
200,Escenario 1,Árbol de Decisión,Silver standard de hashtags — features sin hashtags,4240,0.8632075471698113,0.8913963328631875,0.9418777943368107,0.9159420289855073,0.9418777943368107,0.5649717514124294,0.8913963328631875,0.4350282485875706,0.9313292071912762,0.9010550327915597,3160.0,500.0,385.0,195.0,0.7534247728746201,0.5503423812179447,0.556411935184429
200,Escenario 1,KNN,Silver standard de hashtags — features sin hashtags,4240,0.8622641509433963,0.8903916596224288,0.9418777943368107,0.9154113557358053,0.9418777943368107,0.56045197740113,0.8903916596224288,0.43954802259887005,0.9311096705757558,0.9002336049227965,3160.0,496.0,389.0,195.0,0.7511648858689703,0.5464218919725892,0.5527322343985135
200,Escenario 1,Naïve Bayes,Silver standard de hashtags — features sin hashtags,4240,0.5514150943396227,0.8471094123268036,0.5284649776453055,0.6508810572687225,0.5284649776453055,0.6384180790960452,0.8471094123268036,0.3615819209039548,0.5714561980274608,0.7559478127398311,1773.0,565.0,320.0,1582.0,0.5834415283706753,0.10943747936334758,0.1356530326289034
200,Escenario 1,SVM,Silver standard de hashtags — features sin hashtags,4240,0.8827830188679245,0.8984941438929169,0.9603576751117735,0.9283964846563896,0.9603576751117735,0.5887005649717514,0.8984941438929169,0.41129943502824856,0.9473127131600612,0.9102209164359568,3222.0,521.0,364.0,133.0,0.7745291200417624,0.6074205723781525,0.6177920203830846
200,Escenario 2,Pseudoetiquetado directo,Silver standard de hashtags — features sin hashtags,4240,0.8790094339622642,0.8891018619934282,0.9678092399403875,0.9267874982160696,0.9678092399403875,0.5423728813559322,0.8891018619934282,0.4576271186440678,0.9509723523898782,0.9038022602015253,3247.0,480.0,405.0,108.0,0.7550910606481598,0.5820902404721832,0.5999141219893188
200,Escenario 2,Árbol de Decisión,Silver standard de hashtags — features sin hashtags,4240,0.8740566037735849,0.8927875243664717,0.9555886736214605,0.9231212208465304,0.9555886736214605,0.5649717514124294,0.8927875243664717,0.4350282485875706,0.9423314326024337,0.9046785936000903,3206.0,500.0,385.0,149.0,0.760280212516945,0.5772216236604717,0.5875691630452735
200,Escenario 2,KNN,Silver standard de hashtags — features sin hashtags,4240,0.8686320754716981,0.8822404371584699,0.9624441132637854,0.9205987170349251,0.9624441132637854,0.5129943502824859,0.8822404371584699,0.48700564971751414,0.9452576112412178,0.8971936649069185,3229.0,454.0,431.0,126.0,0.7377192317731356,0.5445168756027001,0.5622865197770889
200,Escenario 2,Naïve Bayes,Silver standard de hashtags — features sin hashtags,4240,0.565566037735849,0.8471776044056907,0.5502235469448584,0.6671485363209252,0.5502235469448584,0.6237288135593221,0.8471776044056907,0.376271186440678,0.5917045964484903,0.7646425316875155,1846.0,552.0,333.0,1509.0,0.5869761802520903,0.11681350481224273,0.14144272443238348
200,Escenario 2,SVM,Silver standard de hashtags — features sin hashtags,4240,0.8790094339622642,0.8891018619934282,0.9678092399403875,0.9267874982160696,0.9678092399403875,0.5423728813559322,0.8891018619934282,0.4576271186440678,0.9509723523898782,0.9038022602015253,3247.0,480.0,405.0,108.0,0.7550910606481598,0.5820902404721832,0.5999141219893188
