Dimension,Escenario,Algoritmo,Tiempo_clasificador_s,Exactitud,Precisión,Recall,F1-score,Sensibilidad,Especificidad,Precisión positiva,Tasa de falsos positivos,Valor F2,Valor F0.5,TP,TN,FP,FN,Repeticion,Fold,k_seleccionado,N_terminos_anadidos,Umbral_similitud,Politicos_test_pct
50,Escenario 2,Árbol de Decisión,14.880257400000119,0.9342243186582809,0.9610452222543632,0.9545563376909448,0.9577897897897898,0.9545563376909448,0.8613827414650883,0.9610452222543632,0.13861725853491164,0.9558470951531541,0.9597403972999778,19934.0,5021.0,808.0,949.0,1,4,2,100,0.7897908091545105,78.17834681042228
50,Escenario 2,KNN,8.315994800002954,0.9423854447439353,0.9620235024362281,0.9643729349231432,0.963196785996126,0.9643729349231432,0.8636129696345857,0.9620235024362281,0.1363870303654143,0.9639021308368273,0.9624924726866056,20139.0,5034.0,795.0,744.0,1,4,2,100,0.7897908091545105,78.17834681042228
50,Escenario 2,Naïve Bayes,0.13016209999477724,0.5888739143456124,0.9449887640449438,0.5034238375712302,0.6568982754311422,0.5034238375712302,0.8950077200205867,0.9449887640449438,0.10499227997941328,0.5553207897989584,0.8039551565391616,10513.0,5217.0,612.0,10370.0,1,4,2,100,0.7897908091545105,78.17834681042228
50,Escenario 2,SVM,1.3380332000015187,0.9993261455525606,0.9997604790419161,0.9993774840779581,0.9995689448728388,0.9993774840779581,0.9991422199348087,0.9997604790419161,0.0008577800651912849,0.9994540595937054,0.9996838565666823,20870.0,5824.0,5.0,13.0,1,4,2,100,0.7897908091545105,78.17834681042228
50,Escenario 1,Árbol de Decisión,12.94056460000138,0.9117999401018269,0.9359608397254744,0.9446368544361822,0.9402788339670469,0.9446368544361822,0.8207120655552416,0.9359608397254744,0.1792879344447584,0.9428888075483975,0.9376832696313373,18547.0,5809.0,1269.0,1087.0,1,5,2,0,,73.50254567235699
50,Escenario 1,KNN,7.795252600000822,0.9486747529200359,0.9718877577386181,0.9578791891616584,0.9648326279338207,0.9578791891616584,0.9231421305453518,0.9718877577386181,0.0768578694546482,0.960648502865549,0.9690533605391702,18807.0,6534.0,544.0,827.0,1,5,2,0,,73.50254567235699
50,Escenario 1,Naïve Bayes,0.10621840000385419,0.6067310572027553,0.9278282875620958,0.5041764286441887,0.6533346533346533,0.5041764286441887,0.8912122068380899,0.9278282875620958,0.10878779316191015,0.5548455804046858,0.7943347777242818,9899.0,6308.0,770.0,9735.0,1,5,2,0,,73.50254567235699
50,Escenario 1,SVM,1.3974503999997978,0.9994010182689428,0.9996943453897096,0.9994906794336356,0.9995925020374898,0.9994906794336356,0.9991523029104267,0.9996943453897096,0.0008476970895733258,0.9995314059857792,0.9996536055586119,19624.0,7072.0,6.0,10.0,1,5,2,0,,73.50254567235699
50,Escenario 2,Árbol de Decisión,13.140986200000043,0.9210467205750225,0.9445876288659794,0.9542890206856647,0.9494135424911851,0.9542890206856647,0.8056253139126067,0.9445876288659794,0.19437468608739328,0.952332832890634,0.9465120950385951,19791.0,4812.0,1161.0,948.0,1,5,2,100,0.7993531823158264,77.6392632524708
50,Escenario 2,KNN,8.34487480000098,0.9526804432464809,0.9734065827215713,0.9654274555185882,0.9694006003679675,0.9654274555185882,0.9084212288632179,0.9734065827215713,0.09157877113678219,0.9670127988408597,0.971800223268456,20022.0,5426.0,547.0,717.0,1,5,2,100,0.7993531823158264,77.6392632524708
50,Escenario 2,Naïve Bayes,0.1165361999956076,0.5941524408505541,0.94314111747851,0.5078836973817445,0.6602312972075093,0.5078836973817445,0.8936882638540097,0.94314111747851,0.1063117361459903,0.5595278568696613,0.8051398082891257,10533.0,5338.0,635.0,10206.0,1,5,2,100,0.7993531823158264,77.6392632524708
50,Escenario 2,SVM,1.9189760000008391,0.9995882000598981,0.9998070987654321,0.9996624716717296,0.9997347799879446,0.9996624716717296,0.9993303197723087,0.9998070987654321,0.0006696802276912774,0.9996913937430082,0.9997781699989391,20732.0,5969.0,4.0,7.0,1,5,2,100,0.7993531823158264,77.6392632524708
50,Escenario 1,Árbol de Decisión,14.104641600002651,0.9167789757412399,0.9391931975479534,0.9503276474413486,0.9447276163007534,0.9503276474413486,0.8169915191191787,0.9391931975479534,0.1830084808808213,0.9480796870009581,0.941399165535217,18998.0,5491.0,1230.0,993.0,2,1,2,0,,74.83902365977838
50,Escenario 1,KNN,7.757374000000709,0.9365079365079365,0.9580850317992889,0.9570306637987094,0.9575575575575576,0.9570306637987094,0.8754649605713436,0.9580850317992889,0.12453503942865644,0.9572413517056427,0.9578739723832698,19132.0,5884.0,837.0,859.0,2,1,2,0,,74.83902365977838
50,Escenario 1,Naïve Bayes,0.10206499999912921,0.6144429469901168,0.9317533856022808,0.5231354109349207,0.6700624699663623,0.5231354109349207,0.886028864752269,0.9317533856022808,0.11397113524773099,0.5734307145677062,0.8058624994220722,10458.0,5955.0,766.0,9533.0,2,1,2,0,,74.83902365977838
50,Escenario 1,SVM,1.1441583999985596,0.9996256364180892,0.9997998899394667,0.9996998649392227,0.9997498749374687,0.9996998649392227,0.9994048504686802,0.9997998899394667,0.0005951495313197441,0.9997198683381189,0.9997798833381693,19985.0,6717.0,4.0,6.0,2,1,2,0,,74.83902365977838
50,Escenario 2,Árbol de Decisión,13.900443300000916,0.9246780473195567,0.9478791895474342,0.9564822776344702,0.9521613010604404,0.9564822776344702,0.8094496365524403,0.9478791895474342,0.1905503634475597,0.9547491893953843,0.949587403964716,20023.0,4677.0,1101.0,911.0,2,1,2,100,0.7952955365180969,78.36927223719677
